,ell,TT_out,EE_out,BB_out,TT_in,EE_in,BB_in,wl_TT,wl_EE,wl_BB
138,140,0.017212327791478237,4.52876559505603e-06,1.7661130838517302e-09,0.01733406837626946,4.560681090195006e-06,1.795207781269578e-09,0.12154404384460576,0.12159747054938284,0.12159747054938284
139,141,0.017587617143608777,5.596340723532837e-06,1.753666616664386e-09,0.01771636088904471,5.63609764397377e-06,1.7497873707469518e-09,0.11788782420987795,0.1179396437625409,0.1179396437625409
140,142,0.01518748769528939,4.288561310277137e-06,1.3176290451568464e-09,0.0153022302231228,4.3208115917483074e-06,1.3181701875135793e-09,0.11431646682869774,0.11436671653186069,0.11436671653186069
141,143,0.014676284368531203,3.5940931916647667e-06,1.3627324870789968e-09,0.01478973295168173,3.6220535026066714e-06,1.320788805348824e-09,0.11082894639920013,0.11087766310478872,0.11087766310478872
142,144,0.012324554550520592,3.3313734822630403e-06,1.2864500834588098e-09,0.012424560000027418,3.3568822412655608e-06,1.2750772032103933e-09,0.10742421437368874,0.10747143447272206,0.10747143447272206
143,145,0.01155466922026847,3.468600054129146e-06,1.2712178953942708e-09,0.011650556779562215,3.497579665795454e-06,1.226869887534625e-09,0.10410120057509037,0.10414695998817339,0.10414695998817339
144,146,0.013240808418941524,3.621936514961996e-06,9.916376967622629e-10,0.013352924802683186,3.6524014912750646e-06,9.750718999197488e-10,0.10085881478732117,0.10090314895583623,0.10090314895583623
145,147,0.010941042023834538,2.882585202748101e-06,8.328721359008665e-10,0.011035669852395546,2.9094394371770615e-06,8.155892304587145e-10,0.09769594831830178,0.09773889219628722,0.09773889219628722
146,148,0.009427865419865775,2.702816651742642e-06,8.740169739584471e-10,0.009510064484963407,2.725306078501514e-06,8.583466825432438e-10,0.09461147553443934,0.09465306358114252,0.09465306358114252
147,149,0.009486650300921716,2.4722128695283684e-06,6.922495331533362e-10,0.00957441670575074,2.49692575771539e-06,6.751144444050996e-10,0.09160425536547376,0.09164452153856566,0.09164452153856566
148,150,0.008665747878146302,2.5102905603370954e-06,7.384256997872454e-10,0.00874708183156687,2.5338415476868673e-06,7.387533318117615e-10,0.08867313277866555,0.0887121105281033,0.0887121105281033
149,151,0.007378219294281084,1.9573569565694368e-06,5.017387797607495e-10,0.007448934623540513,1.976107428089055e-06,4.945633294336132e-10,0.08581694022138059,0.08585466248390414,0.08585466248390414
150,152,0.007218155085420877,1.8948778785401583e-06,5.179482584099476e-10,0.007288780783860437,1.91322589570213e-06,5.107767591842961e-10,0.08303449903120509,0.08307099822545376,0.08307099822545376
151,153,0.007348274798418304,1.922444465777446e-06,4.667226148128416e-10,0.007423860362554052,1.942035962726036e-06,4.3983181646421504e-10,0.08032462081280123,0.0803599288350354,0.0803599288350354
152,154,0.006823838289034319,1.827308786048021e-06,4.820316138503418e-10,0.006896588087969096,1.8467825582220902e-06,4.844463245910198e-10,0.07768610878078852,0.07772025700120168,0.07772025700120168
153,155,0.005119325153630661,1.400225805111922e-06,4.2374460851632304e-10,0.005174879892029408,1.4155399808974945e-06,4.222895223305696e-10,0.07511775906801176,0.07515077832761755,0.07515077832761755
154,156,0.005776546688111569,1.2914969694919823e-06,3.634976927232399e-10,0.005841729555039573,1.3060820382890887e-06,3.570418274093474e-10,0.07261836199862848,0.07265028260670744,0.07265028260670744
155,157,0.0049030201137124,1.164438167796318e-06,3.40803339099055e-10,0.004959351462926015,1.177623811965115e-06,3.1947195410495827e-10,0.0701867033255216,0.07021755505761176,0.07021755505761176
156,158,0.004896361740792604,1.0764364438395053e-06,3.1845321190445773e-10,0.004954199767563647,1.0893821332960744e-06,3.097079051981617e-10,0.06782156543161182,0.06785137752802739,0.06785137752802739
157,159,0.00490839964684022,1.1294090600373228e-06,2.636986311354197e-10,0.004969259437369689,1.1427578048785677e-06,2.606374751348141e-10,0.06552172849471484,0.06555052965957692,0.06555052965957692
158,160,0.004055089482363714,8.912018090961517e-07,2.577471339620705e-10,0.004105957385049201,9.020257789485166e-07,2.557186281395901e-10,0.06328597161565355,0.06331379001641668,0.06331379001641668
159,161,0.003534289764537444,8.213554104102769e-07,2.152164655822294e-10,0.003579057489355992,8.321795324979654e-07,2.1087735013090044e-10,0.061113073909402085,0.061139937176860525,0.061139937176860525
160,162,0.003960687766397481,8.389418556374138e-07,2.0836978342506215e-10,0.004013445371846942,8.502852113274378e-07,2.0984138170798987e-10,0.05900181555910132,0.059027750787858546,0.059027750787858546
161,163,0.0032898748234532374,7.511815118290795e-07,1.7409629220066707e-10,0.003334023859634514,7.612988909272142e-07,1.697517086523079e-10,0.05695097883284704,0.05697601258223223,0.05697601258223223
162,164,0.003082045494606096,6.725642519563377e-07,1.710538145816452e-10,0.00312562041470418,6.817370750322632e-07,1.6921186527589825e-10,0.05495934906321189,0.05498350735862697,0.05498350735862697
163,165,0.0029897760242609747,6.702484946103369e-07,1.5957787861944874e-10,0.0030335270527920826,6.798984686216134e-07,1.4938202056611136e-10,0.05302571558951968,0.053049023924200536,0.053049023924200536
164,166,0.0030370990959457615,5.831707772396332e-07,1.1661994342487347e-10,0.003081918063963698,5.921130616570706e-07,1.144289911388463e-10,0.051148872662946064,0.05117135600012166,0.05117135600012166
165,167,0.002272968545850733,4.7651844278574513e-07,1.206899286368145e-10,0.0023070936844481853,4.835458226646708e-07,1.1858462621783854e-10,0.04932762031457397,0.04934930309000698,0.04934930309000698
166,168,0.0024226677365311792,4.698925307052575e-07,1.0659227819661265e-10,0.0024595908955066656,4.771970871974212e-07,1.0475362065532996e-10,0.047560765186582435,0.04758167131147527,0.04758167131147527
167,169,0.001968098653844778,4.0001863001183486e-07,9.861812963844147e-11,0.0020000201359443074,4.065076196406912e-07,9.480119063597559e-11,0.04584712132679793,0.045867274191048,0.045867274191048
